搜索内容：远程 软件,生成时间：2026-06-13 00:44:33,投递总数：156,完成城市：北京/上海/广州/深圳/杭州/天津/西安/苏州/武汉/厦门/长沙/成都/郑州/重庆
53,MOJOFOX,可远程办公-安卓游戏自动化脚本开发,西安,2026-06-12 15:47:08
54,魔方网表,远程兼职｜前端开发项目经理,苏州,2026-06-12 15:50:37
55,极目行远,远程技术工程师,苏州,2026-06-12 15:51:38
56,数智云信息,远程软件工程师,苏州,2026-06-12 15:53:23
57,蓝点呼吸,全栈开发兼职 (远程环境搭建),苏州,2026-06-12 15:54:27
58,长亮科技,Java-远程面试-全额社保公积金-需社保,苏州,2026-06-12 15:55:32
59,软通动力,苏州-软件测试工程师-远程面试,苏州,2026-06-12 15:57:48
60,苏州泽行辰悦智能科技,法律知识工程师(可远程),苏州,2026-06-12 15:59:35
61,畅悦智能科技,程序设计师（远程办公）,苏州,2026-06-12 16:00:30
62,京东工品汇,全栈产品研发工程师（外包/项目制/可远程）,苏州,2026-06-12 16:03:04
63,魔方网表,远程兼职｜内部平台产品开发项目经理,武汉,2026-06-12 16:09:06
64,广州奥拉帕迪科技,Golang（远程居家办公）,武汉,2026-06-12 16:09:23
65,海南阖家乐电子竞技,量化开发工程师【可居家/远程】,厦门,2026-06-12 16:37:37
66,智乐活,ios实习【远程办公/27届及以上/实习证明】,厦门,2026-06-12 16:40:51
67,漳州市中金盛世商贸,软件开发,厦门,2026-06-12 16:49:03
68,时代电服科技有限公司,远程运维工程师 (MJ040548),厦门,2026-06-12 16:50:34
69,长沙市焰流科技,高级JAVA开发（远程）,长沙,2026-06-12 17:22:46
70,触海科技,远程岗位：AI 产品工程师,长沙,2026-06-12 17:26:03
71,某大型基金公司,量化策略（远程）,长沙,2026-06-12 17:35:27
72,流动方舟,golang架构师（远程）,成都,2026-06-12 17:47:39
73,成都追曜信息科技,大模型应用工程师（兼职/远程）,成都,2026-06-12 17:48:20
74,成华区柒分站图文...,资深后端架构师（可远程办公）,成都,2026-06-12 17:53:49
75,领职,Golang-全职远程,成都,2026-06-12 17:56:18
76,乐兔未来,大数据开发工程师（远程）,成都,2026-06-12 18:01:21
77,拓维云创,Java开发工程师（双休+远程面试）,成都,2026-06-12 18:04:34
78,郑州熵灵科技有限公司,线上兼职可远程办公,郑州,2026-06-12 18:18:35
79,三盈科技,远程 Java 全栈开发（25k 起 独立负责）,重庆,2026-06-12 18:42:41
80,中冶赛迪集团有限公司,数据分析/算法实习生（可远程线上）,重庆,2026-06-12 18:58:33
81,某大型电子商务公司,AI大模型运维开发SRE专家,深圳,2026-06-12 22:55:55
82,某人工智能公司,大模型数据算法工程师,深圳,2026-06-12 22:56:36
83,某大型国际OTO平台公司,AI大模型负责人,深圳,2026-06-12 22:57:10
84,深圳鼎匠创新科技,AI大模型工程师,深圳,2026-06-12 23:00:01
85,某大型互联网快递公司,大模型算法,深圳,2026-06-12 23:02:03
86,某中型人工智能公司,高级ai工程师,tab-机器学习,2026-06-12 23:27:29
87,中策大数据,ai专家,tab-机器学习,2026-06-12 23:28:03
88,某大型医疗健康上市公司（国企背景）,AI架构主任,tab-机器学习,2026-06-12 23:28:35
89,某知名互联网公司,AI平台开发工程师/专家,tab-机器学习,2026-06-12 23:29:09
90,某大型互联网公司,大模型应用算法专家,tab-机器学习,2026-06-12 23:29:45
91,某大型消费电子公司,AI开发,tab-机器学习,2026-06-12 23:30:14
92,深圳某大型保险上市公司,大模型应用工程师,tab-机器学习,2026-06-12 23:31:05
93,某中型人工智能公司,AI方向实习生-base北上广或居家都可,tab-机器学习,2026-06-12 23:31:41
94,云智达创,大模型应用开发工程师（Agent 方向）,tab-机器学习,2026-06-12 23:32:40
95,蓝岸一凝,agent全栈工程师,tab-机器学习,2026-06-12 23:33:12
96,深眸智现,后端开发工程师（AI创新应用）,tab-机器学习,2026-06-12 23:33:39
97,某电子商务公司,高级全栈开发工程师（AI开发经验・偏后端）,tab-机器学习,2026-06-12 23:34:09
98,某中型人工智能研发公司,agent全栈工程师,tab-机器学习,2026-06-12 23:34:35
99,上海某小型汽车研发/制造公司,效能研发工程师/架构师（DevOps AI方向）,tab-机器学习,2026-06-12 23:35:00
100,深圳某小型人工智能获资本融资公司,全栈开发工程师（CTO储备）,tab-机器学习,2026-06-12 23:35:50
101,城觅科技,AI原生工程师,tab-机器学习,2026-06-12 23:36:19
102,合生和,AI开发经理【50-80w＋16年不拖薪】,tab-机器学习,2026-06-12 23:36:56
103,深圳宇翊,大模型Agent工程师,tab-机器学习,2026-06-12 23:56:37
104,深圳云链数智科技,高级AI应用开发工程师,tab-机器学习,2026-06-12 23:57:39
105,广州某大型互联网上市公司,大模型算法工程师（应用）,tab-机器学习,2026-06-12 23:59:45
106,某大型知名物流上市公司,大模型算法工程师,tab-机器学习,2026-06-13 00:00:48
107,某大型知名互联网公司,AI Agent技术规划工程师,tab-机器学习,2026-06-13 00:01:51
108,你好时代,agent负责人,tab-机器学习,2026-06-13 00:03:01
109,广州某大型智能硬件公司,Full stack Engineer（AI+Legal）,tab-机器学习,2026-06-13 00:03:57
110,某知名互联网公司,ai算法工程师,tab-机器学习,2026-06-13 00:04:59
111,某知名互联网公司,全栈开放工程师,tab-机器学习,2026-06-13 00:06:00
112,某大型医疗健康上市公司（国企背景）,ai架构师,tab-机器学习,2026-06-13 00:07:46
113,某大型互联网上市公司,AI Agent架构师 深圳/香港,tab-机器学习,2026-06-13 00:08:48
114,联新移动医疗,ai开发工程师,tab-机器学习,2026-06-13 00:09:45
115,某大型互联网公司,AI Agent 工程师（社区新交互探索）,tab-机器学习,2026-06-13 00:10:56
116,某互联网公司,全栈工程师-AI Agent方向,tab-机器学习,2026-06-13 00:11:54
117,某知名工程施工上市公司,AI应用工程师,tab-机器学习,2026-06-13 00:12:49
118,北京某大型计算机软件公司,Agent研发（北上深）,tab-机器学习,2026-06-13 00:13:54
119,转转集团,AI全栈工程师 J14777,tab-机器学习,2026-06-13 00:15:00
120,某大型基金公司,AI Agent 算法工程师/专家,tab-机器学习,2026-06-13 00:15:59
121,数字华夏,ai 智能体开发工程师,tab-机器学习,2026-06-13 00:16:57
122,深圳某大型互联网电视上市公司,AI Agent开发【211本，python+java】,tab-机器学习,2026-06-13 00:17:56
123,Shoplazza,高级Ai-agent 研发工程师,tab-机器学习,2026-06-13 00:18:56
124,深圳某大型互联网上市公司,AI 应用研发工程师,tab-机器学习,2026-06-13 00:19:56
125,某大型知名互联网上市公司,资深架构师（AI应用）,tab-机器学习,2026-06-13 00:20:58
126,深圳某中型AI互联网A轮出海公司,AI lab- AI 算法工程师,tab-机器学习,2026-06-13 00:21:58
127,某大型电子公司,大模型应用开发专家,tab-机器学习,2026-06-13 00:23:13
128,深圳某小型人工智能公司,agent全栈开发（多模态实时互动方向，深圳,tab-机器学习,2026-06-13 00:24:15
129,睿观智策,全栈工程师（智能体方向）,tab-机器学习,2026-06-13 00:25:13
130,珠海某小型大数据公司,算法工程师,tab-算法工程师,2026-06-13 00:26:02
131,上海某大型电子商务公司（知名投资背景）,AI Agent 工程师（社区新交互探索）,tab-算法工程师,2026-06-13 00:28:39
132,某大型知名计算机软件公司,GenAI Agent Platform（AI）,tab-算法工程师,2026-06-13 00:29:15
133,某大型银行上市公司,Gen AI Agent-top外企-英文basic,tab-算法工程师,2026-06-13 00:30:26
134,某中型智能硬件公司,agent应用开发,tab-算法工程师,2026-06-13 00:31:02
135,某大型互联网公司,AI Agent 技术负责人,tab-算法工程师,2026-06-13 00:31:28
136,某中型国际互联网OTT平台公司,LLM Agent算法工程师,tab-算法工程师,2026-06-13 00:32:03
137,深圳某大型计算机软件上市公司,Agent开发工程师,tab-算法工程师,2026-06-13 00:34:50
138,海富润通,agent开发工程师,tab-算法工程师,2026-06-13 00:35:19
139,易储能源科技,储能电站智能机器人MLOPS平台工程师,tab-算法工程师,2026-06-13 00:35:51
140,深圳某大型家用电器公司,Agent算法工程师,tab-算法工程师,2026-06-13 00:36:21
141,某计算机软件公司,Agent工程师（后端方向）,tab-算法工程师,2026-06-13 00:36:44
142,某AI人工智能国家队科技公司,大模型算法工程师（llm，rag）,tab-算法工程师,2026-06-13 00:37:14
143,某新能源汽车公司,首席AI架构师,tab-算法工程师,2026-06-13 00:37:59
144,豹亮科技,Agent工程师,tab-算法工程师,2026-06-13 00:38:30
145,某大型互联网上市公司,AI后端技术leader,tab-算法工程师,2026-06-13 00:39:03
146,某知名互联网公司,AI Agent开发专家（大厂急招，多方向）,tab-算法工程师,2026-06-13 00:39:29
147,某大型电子/半导体/集成电路公司,高级ai全栈开发工程师,tab-算法工程师,2026-06-13 00:39:57
148,某大型进出口贸易公司,智能体工程（Agent Engineering)架构师,tab-算法工程师,2026-06-13 00:40:26
149,深圳某大型智能硬件公司,AI Agent,tab-算法工程师,2026-06-13 00:40:52
150,某大型消费电子公司,AI Agent 工程师,tab-算法工程师,2026-06-13 00:41:26
151,北京智乐界智能科技,全栈软件开发工程师（AI 应用方向）,tab-算法工程师,2026-06-13 00:42:02
152,北京某小型人工智能公司，融资领先,Agent 算法工程师,tab-算法工程师,2026-06-13 00:42:28
153,超线性,AI agent开发,tab-算法工程师,2026-06-13 00:42:56
154,蓝青教育集团,AI Agent负责人,tab-算法工程师,2026-06-13 00:43:27
155,北京水滴科技,Agent开发工程师（后端）,tab-算法工程师,2026-06-13 00:44:01
156,广东某大型快递物流上市公司,大模型算法工程师（Agent/多智能体）,tab-算法工程师,2026-06-13 00:44:28
